timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:51:57.607508	[-0.11897419072687626, -0.4789613733688991, 1.6280000000000001]	[-6.970251917140558, -9.155405870378019, 65.535]	[-0.0012618897557258606, 0.25630354499816893, 1.216]
2024-07-12 18:51:57.808007	[-0.07619240266084673, -0.6055121097564697, 1.701]	[-0.11016878763400018, -0.2545416921575864, 1.141]	[-0.006314279973506928, 0.2542216148376465, 1.216]
2024-07-12 18:51:58.021012	[0.01489260541275149, -1.018384914358457, 2.563]	[-0.11193731287121775, -0.5528623870213828, 1.6480000000000001]	[-0.011392491364851593, 0.24832175284624097, 1.218]
2024-07-12 18:51:58.223676	[0.1147233111262322, -0.877140499273936, 2.332]	[-0.05618773611634972, -0.7747101711034774, 1.934]	[-0.015455185079947113, 0.2561144497394562, 1.214]
2024-07-12 18:51:58.487733	[0.1884233882278204, -0.7580369156201682, 2.374]	[0.032647996723651936, -0.892329046368599, 2.214]	[-0.017818001406267287, 0.24156106445193293, 1.213]
2024-07-12 18:51:58.752829	[0.2256823047548533, -0.6671241198778151, 2.394]	[0.11624174299836158, -0.8196516315539679, 2.332]	[-0.01971335954591632, 0.24008718395233156, 1.213]
2024-07-12 18:51:58.953576	[0.23518533298373218, -0.6069784828821819, 2.366]	[0.14275790038704872, -0.7368128233750659, 2.312]	[-0.023900547682307663, 0.24766914972662926, 1.213]
2024-07-12 18:51:59.217485	[0.2293642923831939, -0.6169779593149819, 2.368]	[0.13189695158600803, -0.7578485327661039, 2.301]	[-0.021047874385491012, 0.24317698132991789, 1.214]
2024-07-12 18:51:59.431576	[0.2298133297562599, -0.6306994878053664, 2.382]	[0.12803948203101756, -0.7654245854417482, 2.305]	[-0.02228993218950927, 0.24805303490161895, 1.214]
2024-07-12 18:51:59.645156	[0.18206267237663273, -0.776186238527298, 2.328]	[0.043007222212851, -0.9779828513065973, 2.486]	[-0.020145762459374966, 0.24557514840364458, 1.213]
2024-07-12 18:51:59.847137	[0.11154117829352624, -0.9375642912387848, 2.423]	[-0.05635390967130663, -0.7622574490308761, 1.87]	[-0.013907429846003653, 0.24277457937598232, 1.215]
2024-07-12 18:52:00.124583	[0.08057238158583635, -1.0019107588529585, 2.487]	[-0.1097310433164239, -0.5947770684957504, 1.6500000000000001]	[-0.00995460569858551, 0.243346284866333, 1.216]
2024-07-12 18:52:00.390869	[0.10915515106916422, -0.9908534084955851, 2.476]	[-0.12660491616278885, -0.5238434571425119, 1.594]	[-0.010243609193712474, 0.24911321729421618, 1.215]
2024-07-12 18:52:00.654205	[0.18836166590452197, -0.6021919150352477, 2.2560000000000002]	[-0.18784757194295526, -0.34031183200081194, 1.679]	[-0.011518681386485695, 0.25745115673542024, 1.214]
2024-07-12 18:52:00.915904	[0.06573261666297915, 0.2966728089650471, 1.184]	[-0.20401325301826, 0.16410518399874363, 1.804]	[-0.012611334800720214, 0.24656831359863282, 1.216]
2024-07-12 18:52:01.117372	[-0.0010245462097227698, 0.35012923634052273, 1.191]	[-0.07760934106260539, 0.31404024016857146, 1.206]	[-0.013322612936608495, 0.2429050071537495, 1.215]
2024-07-12 18:52:01.331562	[-0.014786038398742662, 0.25528626251220704, 1.216]	[-0.0383428412117064, 0.2403116383552551, 1.218]	[-0.01474477681796998, 0.2215047402083874, 1.223]
2024-07-12 18:52:01.545116	[-0.009669637709856014, 0.18709092044830322, 1.826]	[-0.0626283370424062, 0.116415962477525, 1.805]	[-0.012151608131825925, 0.2325051772594452, 1.34]
2024-07-12 18:52:01.807754	[-0.01513666298612954, 0.08294603824615474, 1.542]	[-0.03921517054550352, 0.05289605150620149, 1.5350000000000001]	[-0.011374711487442256, 0.2305331282615662, 1.362]
2024-07-12 18:52:01.978233	[-0.01483788770623507, 0.00558767805496846, 1.5310000000000001]	[-0.023497876849025504, 0.006646567324797369, 1.538]	[-0.008566556582227351, 0.2222596272826195, 1.395]
2024-07-12 18:52:02.199900	[-0.012831112828105687, -0.004937282820542682, 1.538]	[-0.020106923393905147, -0.0017063817381859111, 1.545]	[-0.008257676040753722, 0.23298677629232406, 1.346]
2024-07-12 18:52:02.356253	[-0.012349942792206988, -0.00838626027107239, 1.5350000000000001]	[-0.022756959311664104, 0.0024203598499298097, 1.55]	[-0.008365332417190076, 0.23064707350730898, 1.368]
2024-07-12 18:52:02.513432	[-0.012814212614670396, 0.018386283715565943, 1.5290000000000001]	[-0.02333177926205097, 0.02452531198660527, 1.5310000000000001]	[-0.008387763823382556, 0.19375998982787132, 1.407]
2024-07-12 18:52:02.670371	[-0.006333600617945179, 0.20326628158489868, 1.397]	[-0.04119528959691522, 0.18980945777893063, 1.428]	[-0.010103306544944644, 0.22331602773070336, 1.389]
2024-07-12 18:52:02.946498	[0.02478554637730122, 0.22141121764977773, 1.3940000000000001]	[-0.06817166244238612, 0.19100654435157774, 1.418]	[-0.01081443389877677, 0.22306820511817932, 1.22]
2024-07-12 18:52:03.160751	[0.027847530171275166, 0.19248166978359227, 1.41]	[-0.06960829883068802, 0.19237149643898005, 1.497]	[-0.012316147355362773, 0.23283299317955972, 1.343]
2024-07-12 18:52:03.424161	[0.027054010368883642, 0.20626307934522625, 1.395]	[-0.05066423828713595, 0.20589791911840438, 1.401]	[-0.012353459028527141, 0.22003186681866646, 1.223]
2024-07-12 18:52:03.703744	[0.02598574425280094, 0.2093516505559286, 1.3960000000000001]	[-0.05025680623948576, 0.20804512103398637, 1.4000000000000001]	[-0.012310045732185247, 0.22233223485946657, 1.221]
2024-07-12 18:52:03.977972	[0.026503484286367864, 0.20885866999626163, 1.395]	[-0.049999405000358814, 0.20825580998261778, 1.4020000000000001]	[-0.01193147300183773, 0.22116688299179077, 1.224]
2024-07-12 18:52:04.174110	[0.026351279854774447, 0.20743826866149906, 1.3920000000000001]	[-0.050016859788447644, 0.21004099643230442, 1.4020000000000001]	[-0.011382879719138145, 0.22126489949226377, 1.224]
2024-07-12 18:52:04.386096	[0.0267977540306747, 0.20685178945461904, 1.393]	[-0.05803212024271487, 0.24768662571907044, 1.22]	[-0.012014957427978515, 0.22625024223327636, 1.216]
2024-07-12 18:52:04.647556	[0.02713065988942981, 0.20764203437169398, 1.393]	[-0.08369376992806794, 0.26443524916966765, 1.222]	[-0.012035363959148527, 0.2277530796825886, 1.215]
2024-07-12 18:52:04.857944	[0.025263233006000488, 0.2046848638852438, 1.393]	[-0.11220677353441715, 0.22876105308532715, 1.24]	[-0.010968895426020026, 0.23760012131929398, 1.213]
2024-07-12 18:52:05.071421	[0.02499315494298938, 0.21049507496754333, 1.391]	[-0.15328974723815922, -0.04937724304199222, 1.536]	[-0.011371226325631142, 0.23362397283315658, 1.214]
2024-07-12 18:52:05.346689	[0.02512673859670755, 0.2066782826781273, 1.391]	[-0.06917012362182139, -0.11305874411265057, 1.432]	[-0.011694148625247182, 0.22676245138049128, 1.215]
