timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-16 12:47:52.851409	[0.06561460652947423, 0.3528640564282735, 1.064]	[-0.2534845147803426, -0.24685117977857596, 2.823]	[0.04347327556461096, 0.3838404043018818, 1.585]
2024-07-16 12:47:53.023001	[0.06364408037066457, 0.3468127307891846, 1.064]	[-0.24575258751399817, -0.20298163551092155, 2.709]	[0.04427875050902367, 0.39350142097473145, 1.6480000000000001]
2024-07-16 12:47:53.243521	[0.06398599782586101, 0.3480051412582398, 1.064]	[-0.2516107009593397, -0.1574904311597347, 2.743]	[0.045384485358372334, 0.40339514523744585, 1.645]
2024-07-16 12:47:53.440995	[0.06368758690729734, 0.34809119351704904, 1.067]	[-0.24470554634928704, -0.11067789732416466, 2.689]	[0.04418649071641266, 0.39439624550938607, 1.679]
2024-07-16 12:47:53.673913	[0.06483073344826698, 0.3483286099433899, 1.071]	[-0.24026322695799174, -0.05842139011621481, 2.6670000000000003]	[0.045247675985097886, 0.38521555614471437, 1.6480000000000001]
2024-07-16 12:47:53.908078	[0.06586037937551736, 0.34623478935162216, 1.069]	[-0.16405283061414958, -0.0038218422333399795, 1.837]	[0.046609608281403786, 0.39387733840942385, 1.6620000000000001]
2024-07-16 12:47:54.142134	[0.0661914901770651, 0.34309775229295086, 1.073]	[-0.133964896582067, 0.017277412176132146, 1.494]	[0.04593751687556505, 0.3969051745533943, 1.67]
2024-07-16 12:47:54.375428	[0.0672111753746867, 0.3446202156543732, 1.071]	[-0.12410868836939333, 0.04667444475491847, 1.444]	[0.04563835989497602, 0.3808479081392288, 1.603]
2024-07-16 12:47:54.612467	[0.06668418218940496, 0.345020560503006, 1.066]	[-0.12230622021853924, 0.07030449795722961, 1.438]	[0.04432605736702681, 0.3764007090330124, 1.612]
2024-07-16 12:47:54.846567	[0.06518691837787627, 0.34368279600143437, 1.064]	[-0.12223979417234657, 0.08475853562355042, 1.46]	[0.0458570366743952, 0.3777010091245175, 1.607]
2024-07-16 12:47:55.017436	[0.066884550601244, 0.34118980308373764, 1.07]	[-0.12243163783103231, 0.08764942189057674, 1.465]	[0.045762312585487956, 0.37865552967786786, 1.601]
2024-07-16 12:47:55.188097	[0.06641665850579735, 0.3428438691496849, 1.073]	[-0.1253734906576574, 0.050381793777147986, 1.445]	[0.04502675946056843, 0.37852696737647057, 1.567]
2024-07-16 12:47:55.359085	[0.06643425750732425, 0.34660816740989686, 1.068]	[-0.1609940794184804, 0.005161784807841052, 1.862]	[0.04687246888875962, 0.3797007856369019, 1.616]
